ra_bin_deg,dec_bin_deg,n_stars
32.0,0.0,22177
32.0,1.0,20403
32.0,2.0,18659
32.0,3.0,17326
32.0,4.0,16332
32.0,5.0,15010
32.0,6.0,13993
32.0,7.0,13281
32.0,8.0,12516
32.0,9.0,12074
32.0,10.0,11314
32.0,11.0,10865
32.0,12.0,10149
32.0,13.0,9618
32.0,14.0,8198
32.0,15.0,7213
32.0,16.0,5131
32.0,17.0,1690
33.0,-18.0,4950
33.0,-17.0,20002
33.0,-16.0,35521
33.0,-15.0,117636
33.0,-14.0,291071
33.0,-13.0,555935
33.0,-12.0,618245
33.0,-11.0,318825
33.0,-10.0,186485
33.0,-9.0,119511
33.0,-8.0,84387
33.0,-7.0,66090
33.0,-6.0,52400
33.0,-5.0,42307
33.0,-4.0,36048
33.0,-3.0,30866
